
iswin: true	|| HP1:-406	|| HP2:-601	|| DIFF:195	|| P1:JohnCobraBot	|| P2:SimpleAI
iswin: false	|| HP1:-242	|| HP2:-189	|| DIFF:53	|| P1:JohnCobraBot	|| P2:SimpleAI
iswin: true	|| HP1:-330	|| HP2:-430	|| DIFF:100	|| P1:JohnCobraBot	|| P2:SimpleAI
iswin: false	|| HP1:-354	|| HP2:-239	|| DIFF:115	|| P1:JohnCobraBot	|| P2:SimpleAI
iswin: true	|| HP1:-189	|| HP2:-331	|| DIFF:142	|| P1:JohnCobraBot	|| P2:SimpleAI
iswin: true	|| HP1:-243	|| HP2:-398	|| DIFF:155	|| P1:JohnCobraBot	|| P2:SimpleAI
iswin: false	|| HP1:-315	|| HP2:-279	|| DIFF:36	|| P1:JohnCobraBot	|| P2:SimpleAI
iswin: true	|| HP1:-228	|| HP2:-250	|| DIFF:22	|| P1:JohnCobraBot	|| P2:SimpleAI
iswin: false	|| HP1:-399	|| HP2:-383	|| DIFF:16	|| P1:JohnCobraBot	|| P2:SimpleAI
iswin: false	|| HP1:-357	|| HP2:-253	|| DIFF:104	|| P1:JohnCobraBot	|| P2:SimpleAI
iswin: true	|| HP1:-307	|| HP2:-394	|| DIFF:87	|| P1:JohnCobraBot	|| P2:SimpleAI
iswin: false	|| HP1:-385	|| HP2:-377	|| DIFF:8	|| P1:JohnCobraBot	|| P2:SimpleAI
iswin: true	|| HP1:-260	|| HP2:-356	|| DIFF:96	|| P1:JohnCobraBot	|| P2:SimpleAI
iswin: false	|| HP1:-434	|| HP2:-113	|| DIFF:321	|| P1:JohnCobraBot	|| P2:SimpleAI
iswin: false	|| HP1:-316	|| HP2:-164	|| DIFF:152	|| P1:JohnCobraBot	|| P2:SimpleAI
iswin: false	|| HP1:-425	|| HP2:-399	|| DIFF:26	|| P1:JohnCobraBot	|| P2:SimpleAI
iswin: true	|| HP1:-352	|| HP2:-509	|| DIFF:157	|| P1:JohnCobraBot	|| P2:SimpleAI
iswin: false	|| HP1:-265	|| HP2:-159	|| DIFF:106	|| P1:JohnCobraBot	|| P2:SimpleAI
iswin: true	|| HP1:-208	|| HP2:-284	|| DIFF:76	|| P1:JohnCobraBot	|| P2:SimpleAI
iswin: false	|| HP1:-356	|| HP2:-236	|| DIFF:120	|| P1:JohnCobraBot	|| P2:SimpleAI
iswin: false	|| HP1:-274	|| HP2:-196	|| DIFF:78	|| P1:JohnCobraBot	|| P2:SimpleAI
iswin: true	|| HP1:-209	|| HP2:-312	|| DIFF:103	|| P1:JohnCobraBot	|| P2:SimpleAI
